p,cor_modifier,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.8,0.2,0.5,line,pcglasso_cpp,C,1.5199110829529328e-6,0.0049999999999954525,8.184352061128953
10,0.8,0.2,0.5,line,pcglasso_cpp,C,5.336699231206308e-6,0.004499999999978854,8.184353162573235
10,0.8,0.2,0.5,line,pcglasso_cpp,C,1.873817422860384e-5,0.0049999999999954525,8.184356142118165
10,0.8,0.2,0.5,line,pcglasso_cpp,C,6.579332246575681e-5,0.003500000000002501,8.184386875781579
10,0.8,0.2,0.5,line,pcglasso_cpp,C,2.310129700083161e-4,0.004000000000019099,8.184448723394421
10,0.8,0.2,0.5,line,pcglasso_cpp,C,8.11130830789687e-4,0.004000000000019099,8.184619981347495
10,0.8,0.2,0.5,line,pcglasso_cpp,C,0.002848035868435802,0.003500000000002501,8.18509079062971
10,0.8,0.2,0.5,line,pcglasso_cpp,C,0.010000000000000004,0.002999999999985903,8.186393065423049
10,0.8,0.2,0.5,line,pcglasso_cpp,I,9.999999999999982e-9,0.005000000000023874,8.184351418392605
10,0.8,0.2,0.5,line,pcglasso_cpp,I,3.5111917342151263e-8,0.0049999999999954525,8.184351425044449
10,0.8,0.2,0.5,line,pcglasso_cpp,I,1.2328467394420646e-7,0.004499999999978854,8.184351481516288
